metric,team,metric_group,direction,values,slope,pct_change,trend,r_squared,months_data
Investment Allocations - 0,Learning Management,Delivery & Commitments ,higher_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Developer Satisfaction,Learning Management,Sentiment & Team Health,context_dependent,"[85.0, 85.0, 79.0, 79.0, 79.0, 67.0, 67.0, 67.0, nan]",-3.0,-21.176470588235293,Improving,0.875,8
Quality of Meetings,Learning Management,Sentiment & Team Health,context_dependent,"[71.0, 71.0, 62.0, 62.0, 62.0, 50.0, 50.0, 50.0, nan]",-3.4285714285714284,-29.577464788732392,Improving,0.89198606271777,8
Perceived Productivity ,Learning Management,Sentiment & Team Health,context_dependent,"[79.0, 79.0, 75.0, 75.0, 75.0, 67.0, 67.0, 67.0, nan]",-2.0,-15.18987341772152,Improving,0.875,8
Ease of Delivery ,Learning Management,Sentiment & Team Health,context_dependent,"[83.0, 83.0, 88.0, 88.0, 88.0, 92.0, 92.0, 92.0, nan]",1.4285714285714286,10.843373493975903,Declining,0.8791208791208791,8
Regrettable Attrition,Learning Management,Sentiment & Team Health,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
PR Review Velocity - X / Wk ,Learning Management,Quality ,context_dependent,"[35.0, 31.0, 36.0, 26.0, 17.0, 20.0, 21.0, 37.0, 23.0]",-1.0999999999999999,-34.285714285714285,Improving,0.1571428571428571,9
PR Review Velocity - X / FTE Wk,Learning Management,Quality ,context_dependent,"[3.5, 3.1, 3.6, 2.6, 1.7, 2.0, 2.1, 3.7, 2.3]",-0.11,-34.28571428571429,Improving,0.1571428571428571,9
PRS Merged - X/Wk,Learning Management,Quality ,higher_better,"[34.0, 33.0, 39.0, 30.0, 22.0, 21.0, 23.0, 43.0, 25.0]",-0.7833333333333334,-26.47058823529412,Declining,0.07452766531713902,9
PRS Merged -  X/FTE Wk,Learning Management,Quality ,higher_better,"[3.3, 3.3, 3.9, 3.0, 2.2, 2.1, 2.3, 4.3, 2.5]",-0.07166666666666667,-24.24242424242424,Stable,0.0632930168872661,9
PR Comments - X/Wk,Learning Management,Quality ,context_dependent,"[4.0, 7.0, 4.0, 4.0, 5.0, 12.0, 10.0, 17.0, 21.0]",1.9666666666666668,425.0,Declining,0.7438034188034188,9
PR Comments - X/FTE Wk,Learning Management,Quality ,context_dependent,"[0.4, 0.7, 0.4, 0.4, 0.5, 1.2, 1.0, 1.7, 2.1]",0.19666666666666668,425.0,Declining,0.7438034188034189,9
Sprint Predictability ,Employee Voice,Productivity and Capacity,higher_better,"[0.372, 0.48, 0.464, 0.781, 0.676, 0.403, 0.785, 0.784, nan]",0.04905952380952382,110.75268817204302,Stable,0.4396452981798123,8
Cycle Time (Days) ,Employee Voice,Productivity and Capacity,lower_better,"[12.55, 11.81, 7.13, 6.91, 7.78, 7.76, 5.21, 9.39, nan]",-0.6233333333333333,-25.1792828685259,Improving,0.36746465928158517,8
Unplanned work %,Employee Voice,Productivity and Capacity,lower_better,"[0.48, 0.43, 0.28, 0.16, 0.45, 0.41, 0.35, 0.08, nan]",-0.030000000000000006,-83.33333333333333,Stable,0.2560975609756098,8
Wasted Effort %,Employee Voice,Productivity and Capacity,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
Severity 1 Incidents,Employee Voice,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
Severity 2 Incidents,Employee Voice,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
Severity 3 Incidents,Employee Voice,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
MTTR (Sev 1),Employee Voice,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
Dispositioned PDR Bugs - Created,Employee Voice,Quality,lower_better,"[4.0, 10.0, 8.0, 11.0, 4.0, 0.0, 10.0, 1.0, nan]",-0.6190476190476191,-75.0,Improving,0.12380952380952379,8
Dispositioned PDR Bugs - Resolved,Employee Voice,Quality,higher_better,"[8.0, 10.0, 8.0, 1.0, 1.0, 5.0, 14.0, 4.0, nan]",-0.20238095238095238,-50.0,Declining,0.012125026221942522,8
Commitment %,Employee Voice,Delivery & Commitments ,higher_better,"[0.0, 1.0, 1.0, 0.0, 0.5, 1.0, 0.0, 1.0, nan]",0.02976190476190476,0.0,Stable,0.021645021645021644,8
