type,metric,team,month,value,mean,severity,confidence,prev_value,severity_score
Sudden Change,Investment Allocations - T,Onboarding,January → February,4.0,,0.7142857142857143,Medium,14.0,2.4
Sudden Change,Investment Allocations - T,Onboarding,February → March,18.0,,3.5,High,4.0,9.0
Sudden Change,Investment Allocations - M,Onboarding,July → August,15.0,,1.5,High,6.0,5.0
Sudden Change,Investment Allocations - M,Onboarding,August → September,2.0,,0.8666666666666667,Medium,15.0,2.6133333333333333
Sudden Change,Investment Allocations - M,Onboarding,September → October,11.0,,4.5,High,2.0,11.0
Sudden Change,Investment Allocations - M,Onboarding,October → November,20.0,,0.8181818181818182,Medium,11.0,2.5454545454545454
Sudden Change,PR Review Velocity - X / FTE Wk,Onboarding,January → February,4.47,,0.6373626373626373,Medium,2.73,2.292307692307692
Sudden Change,PRS Merged - X/Wk,Onboarding,July → August,24.0,,0.5102040816326531,Medium,49.0,2.114285714285714
Sudden Change,PRS Merged - X/Wk,Onboarding,August → September,37.5,,0.5625,Medium,24.0,2.1875
Sudden Change,PR Comments - X/Wk,Onboarding,August → September,5.0,,4.0,High,1.0,10.0
Sudden Change,PR Comments - X/Wk,Onboarding,November → December,10.0,,0.6666666666666666,Medium,6.0,2.333333333333333
Sudden Change,PR Comments - X/Wk,Onboarding,December → January,4.0,,0.6,Medium,10.0,2.2399999999999998
Sudden Change,PR Comments - X/Wk,Onboarding,January → February,12.0,,2.0,High,4.0,6.0
Sudden Change,PR Comments - X/FTE Wk,Onboarding,July → August,0.07,,0.5333333333333333,Medium,0.15,2.1466666666666665
Sudden Change,PR Comments - X/FTE Wk,Onboarding,August → September,0.48,,5.857142857142856,High,0.07,13.714285714285712
Sudden Change,PR Comments - X/FTE Wk,Onboarding,November → December,0.98,,1.3333333333333335,High,0.42,4.666666666666667
Sudden Change,PR Comments - X/FTE Wk,Onboarding,January → February,0.9,,0.8,Medium,0.5,2.52
Sudden Change,Sprint Predictability ,Recruiting Modernization,September → October,15.5,,0.553314121037464,Medium,34.7,2.1746397694524493
Sudden Change,Sprint Predictability ,Recruiting Modernization,October → November,52.7,,2.4000000000000004,High,15.5,6.800000000000001
Sudden Change,Sprint Predictability ,Recruiting Modernization,November → December,96.3,,0.827324478178368,Medium,52.7,2.558254269449715
Sudden Change,Cycle Time (Days) ,Recruiting Modernization,August → September,26.31,,7.542207792207791,High,3.08,17.08441558441558
Sudden Change,Cycle Time (Days) ,Recruiting Modernization,September → October,4.0,,0.8479665526415812,Medium,26.31,2.5871531736982134
Sudden Change,Cycle Time (Days) ,Recruiting Modernization,October → November,6.74,,0.685,Medium,4.0,2.359
Sudden Change,Unplanned work %,Recruiting Modernization,August → September,25.0,,0.5370370370370371,Medium,54.0,2.151851851851852
Sudden Change,Unplanned work %,Recruiting Modernization,October → November,2.0,,0.8461538461538461,Medium,13.0,2.5846153846153848
Sudden Change,Unplanned work %,Recruiting Modernization,November → December,9.0,,3.5,High,2.0,9.0
Sudden Change,Unplanned work %,Recruiting Modernization,December → January,38.0,,3.2222222222222223,High,9.0,8.444444444444445
Sudden Change,Severity 3 Incidents,Recruiting Modernization,August → September,0.0,,1.0,Medium,1.0,2.8
Sudden Change,Dispositioned PDR Bugs - Created,Recruiting Modernization,July → August,3.0,,0.8333333333333334,Medium,18.0,2.566666666666667
Sudden Change,Dispositioned PDR Bugs - Created,Recruiting Modernization,August → September,10.0,,2.3333333333333335,High,3.0,6.666666666666667
Sudden Change,Dispositioned PDR Bugs - Created,Recruiting Modernization,September → October,3.0,,0.7,Medium,10.0,2.38
Sudden Change,Dispositioned PDR Bugs - Created,Recruiting Modernization,November → December,10.0,,2.3333333333333335,High,3.0,6.666666666666667
Sudden Change,Dispositioned PDR Bugs - Created,Recruiting Modernization,December → January,4.0,,0.6,Medium,10.0,2.2399999999999998
Sudden Change,Dispositioned PDR Bugs - Created,Recruiting Modernization,January → February,12.0,,2.0,High,4.0,6.0
Sudden Change,Dispositioned PDR Bugs - Resolved,Recruiting Modernization,July → August,4.0,,0.7142857142857143,Medium,14.0,2.4
Sudden Change,Dispositioned PDR Bugs - Resolved,Recruiting Modernization,November → December,6.0,,1.0,Medium,3.0,2.8
Sudden Change,Commitment %,Recruiting Modernization,August → September,66.7,,2.9940119760479043,High,16.7,7.9880239520958085
Sudden Change,Commitment %,Recruiting Modernization,September → October,0.0,,1.0,Medium,66.7,2.8
Sudden Change,Investment Allocations - R,Recruiting Modernization,September → October,86.0,,0.5357142857142857,Medium,56.0,2.1499999999999995
Sudden Change,Investment Allocations - R,Recruiting Modernization,November → December,35.0,,0.6354166666666666,Medium,96.0,2.289583333333333
Sudden Change,Investment Allocations - R,Recruiting Modernization,December → January,0.0,,1.0,Medium,35.0,2.8
Sudden Change,Investment Allocations - T,Recruiting Modernization,July → August,2.0,,0.7142857142857143,Medium,7.0,2.4
Sudden Change,Investment Allocations - T,Recruiting Modernization,August → September,24.0,,11.0,High,2.0,24.0
Sudden Change,Investment Allocations - T,Recruiting Modernization,October → November,0.0,,1.0,Medium,14.0,2.8
